Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
Apartment for Rent,"3105 S Normandie Ave, Los Angeles, CA 90007",42,0,6,8,0,0,0,0,0,11,2,0,7,0,8,0
Apartment for Rent,"324 W 51st St, Los Angeles, CA 90037",36,0,13,2,0,0,0,0,0,10,5,0,2,0,4,0
Apartment for Rent,"3339 W 8th St, Los Angeles, CA 90005",68,0,15,10,0,0,0,0,1,12,7,0,8,0,15,0
Apartment for Rent,"334 S Main St, Los Angeles, CA 90013",208,1,65,8,0,0,0,0,0,24,25,2,48,0,35,0
Apartment for Rent,"338 S Benton Way, Los Angeles, CA 90057",52,1,13,5,0,0,0,0,0,7,4,1,11,0,10,0
Apartment for Rent,"343 E 53rd St, Los Angeles, CA 90011",26,0,7,0,0,0,0,0,0,9,2,0,1,0,7,0
Apartment for Rent,"3480 San Marino St, Los Angeles, CA 90006",65,1,9,13,0,0,0,0,0,15,3,0,13,0,11,0
Apartment for Rent,"3511 W 6th St, Los Angeles, CA 90020",73,0,18,11,0,0,0,0,1,11,8,0,10,0,14,0
Apartment for Rent,"3520 W 39th St, Los Angeles, CA 90008",38,0,6,5,0,0,0,0,0,6,4,0,12,0,5,0
Apartment for Rent,"3540 Wilshire Blvd, Los Angeles, CA 90010",74,0,18,9,0,0,0,0,1,11,8,0,11,0,16,0
Apartment for Rent,"3616 W Adams Blvd, Los Angeles, CA 90018",31,0,4,0,0,0,0,0,0,10,0,0,2,0,15,0
Apartment for Rent,"3711 Halldale Ave, Los Angeles, CA 90018",43,0,9,9,0,0,0,0,0,12,4,1,5,0,3,0
Apartment for Rent,"3881 S Gramercy Pl, Los Angeles, CA 90062",26,0,8,0,0,0,0,0,0,6,2,1,4,0,5,0
Apartment for Rent,"400 S Broadway, Los Angeles, CA 90013",192,1,58,8,0,0,0,0,0,23,23,1,43,0,35,0
Apartment for Rent,"4005 W 28th St, Los Angeles, CA 90018",24,0,5,1,0,0,0,0,0,8,0,0,2,0,8,0
Apartment for Rent,"4011 W 21st St, Los Angeles, CA 90018",26,0,5,3,0,0,0,0,0,9,0,0,1,0,8,0
Apartment for Rent,"4012 S Normandie Ave, Los Angeles, CA 90037",32,1,9,2,0,0,0,0,0,9,1,1,5,0,4,0
Apartment for Rent,"4058 9th Ave, Los Angeles, CA 90008",13,0,5,2,0,0,0,0,0,1,2,0,0,0,3,0
Apartment for Rent,"4077 8th Ave, Los Angeles, CA 90008",13,0,5,2,0,0,0,0,0,1,2,0,0,0,3,0
Apartment for Rent,"417 S Hill St, Los Angeles, CA 90013",197,0,45,9,0,0,0,0,0,23,24,1,53,0,42,0
Apartment for Rent,"4171 Dalton Ave, Los Angeles, CA 90062",40,1,12,0,0,0,0,0,0,9,3,1,5,0,9,0
Apartment for Rent,"4172 S Hobart Blvd, Los Angeles, CA 90062",42,1,11,0,0,0,0,0,0,11,4,1,6,0,8,0
Apartment for Rent,"420 San Pedro St, Los Angeles, CA 90013",208,1,68,13,0,0,0,0,1,22,22,2,39,0,40,0
Apartment for Rent,"4234 8th Ave, Los Angeles, CA 90008",11,0,3,1,0,0,0,0,0,1,2,0,2,0,2,0
Apartment for Rent,"424 W Pico Blvd, Los Angeles, CA 90015",163,2,21,6,0,0,0,0,0,47,9,1,28,0,49,0
Apartment for Rent,"426 E 30th St, Los Angeles, CA 90011",38,0,7,2,0,0,0,0,0,9,5,0,4,0,11,0
Apartment for Rent,"4301 8th Ave, Los Angeles, CA 90008",13,0,4,1,0,0,0,0,0,1,2,0,3,0,2,0
Apartment for Rent,"4308 S Normandie Ave, Los Angeles, CA 90037",31,1,9,1,0,0,0,0,1,7,2,0,2,0,8,0
Apartment for Rent,"433 Lake S St, Los Angeles, CA 90057",76,0,27,9,0,0,0,0,0,9,11,0,13,0,7,0
Apartment for Rent,"4335 Walton Ave, Los Angeles, CA 90037",38,0,10,3,0,0,0,0,1,7,3,0,5,0,9,0
Apartment for Rent,"4412 8th Ave, Los Angeles, CA 90043",13,0,3,1,0,0,0,0,0,2,3,0,2,0,2,0
Apartment for Rent,"444 S Occidental Blvd, Los Angeles, CA 90057",64,1,18,6,0,0,0,0,0,9,5,1,11,0,13,0
Apartment for Rent,"449 E 49th St, Los Angeles, CA 90011",39,0,9,2,0,0,0,0,0,14,3,1,2,0,8,0
Apartment for Rent,"460 S Spring St, Los Angeles, CA 90013",217,1,67,9,0,0,0,0,0,28,26,2,48,0,36,0
Apartment for Rent,"4617 7th Ave, Los Angeles, CA 90043",12,0,4,1,0,0,0,0,0,3,1,0,2,0,1,0
Apartment for Rent,"4626 Wall St, Los Angeles, CA 90011",71,0,12,2,0,0,0,0,0,14,4,1,33,0,5,0
Apartment for Rent,"4726 4th Ave, Los Angeles, CA 90043",24,0,5,3,0,0,0,0,0,9,2,0,1,0,4,0
Apartment for Rent,"496 E 41st St, Los Angeles, CA 90011",58,0,8,1,0,0,0,0,0,9,4,0,35,0,1,0
Apartment for Rent,"553 S Coronado St, Los Angeles, CA 90057",70,0,25,4,0,0,0,0,1,6,10,1,11,0,12,0
Apartment for Rent,"5730 S Van Ness Ave, Los Angeles, CA 90062",59,0,25,4,0,0,0,0,0,14,9,1,5,0,1,0
Apartment for Rent,"5902 S Wilton Pl, Los Angeles, CA 90047",61,0,31,5,0,0,0,0,0,10,8,1,4,0,2,0
Apartment for Rent,"600 W 9th St, Los Angeles, CA 90015",264,1,36,6,0,0,0,0,0,47,21,0,92,0,61,0
Apartment for Rent,"6049 S Normandie Ave, Los Angeles, CA 90044",35,0,7,9,0,0,0,0,0,6,4,0,2,0,7,0
Apartment for Rent,"609 S Grand Ave, Los Angeles, CA 90017",255,0,48,7,0,0,0,0,0,37,24,1,91,0,47,0
Apartment for Rent,"612 Flower St, Los Angeles, CA 90017",230,0,39,9,0,0,0,0,0,36,20,2,80,0,44,0
Apartment for Rent,"618 W 54th St, Los Angeles, CA 90037",48,0,17,2,0,0,0,0,0,17,6,0,4,0,2,0
Apartment for Rent,"621 S Broadway, Los Angeles, CA 90014",257,1,67,10,0,0,0,0,0,35,24,1,69,0,50,0
