Name,Location,Price(in $),Latitude,Longitude,Distance(meter),Total,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vehicle Break-In/Theft
Apartment for Rent,"1817 W 12th St, Los Angeles, CA 90006",2081.0,34.0477388,-118.2791966,2869.578093301372,70,0,15,3,0,19,10,0,8,15
Apartment for Rent,"1830 W Jefferson Blvd, Los Angeles, CA 90018",1300.0,34.0254698,-118.3098667,2307.852311450487,27,0,4,5,0,8,6,0,3,1
Apartment for Rent,"1935 W 23rd St, Los Angeles, CA 90018",2595.0,34.0355214,-118.304608,2315.2970867441163,22,0,4,0,0,6,1,0,6,5
Apartment for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",2200.0,34.0537955,-118.2794935,3529.0367653533885,90,0,27,6,1,18,12,0,15,11
Apartment for Rent,"215 W 5th St, Los Angeles, CA 90013",2700.0,34.0475574,-118.249726,4295.381776513855,231,1,62,11,0,27,25,2,57,46
Apartment for Rent,"2209 Crenshaw Blvd, Los Angeles, CA 90016",1399.0,34.0375624,-118.332442,4677.117564850943,22,0,5,3,0,8,0,0,3,3
Apartment for Rent,"221 Lucas Ave, Los Angeles, CA 90026",3150.0,34.0603391,-118.2604518,4791.105898860684,52,0,15,5,0,14,2,3,4,9
Apartment for Rent,"222 S Main St, Los Angeles, CA 90012",3140.0,34.0500292,-118.2444028,4847.838833171079,154,1,51,7,0,16,17,1,30,31
Apartment for Rent,"2231 Ellendale Pl, Los Angeles, CA 90007",2800.0,34.0353563,-118.2891811,1488.9545443764207,53,0,6,4,0,16,4,0,17,6
Apartment for Rent,"225 S Grand Ave, Los Angeles, CA 90012",3759.555555555556,34.0541727,-118.2513144,4708.85357461232,85,0,23,1,0,13,7,1,18,22
Apartment for Rent,"225 S Olive St, Los Angeles, CA 90012",3077.25,34.0532819,-118.2498532,4726.494651112169,112,0,34,5,0,16,11,1,22,23
Apartment for Rent,"2288 W 27th St, Los Angeles, CA 90018",2150.0,34.0307498,-118.3172871,3108.144283965308,25,0,3,0,0,11,1,1,1,8
Apartment for Rent,"2331 Portland St, Los Angeles, CA 90007",1925.0,34.0330235,-118.2816283,1223.8374852237823,50,0,5,4,0,12,3,0,21,5
Apartment for Rent,"235 E 28th St, Los Angeles, CA 90011",3500.0,34.0226851,-118.2681679,1560.789414467405,43,0,7,3,0,11,3,0,8,11
Apartment for Rent,"236 S Los Angeles St, Los Angeles, CA 90012",3382.1666666666665,34.0494533,-118.243844,4847.79394584994,169,1,57,7,0,18,19,2,32,33
Apartment for Rent,"236 W 39th St, Los Angeles, CA 90037",1850.0,34.0122097,-118.277305,1341.672365171574,70,0,4,2,0,10,1,0,45,8
Apartment for Rent,"238 E Vernon Ave, Los Angeles, CA 90011",2350.0,34.0037633,-118.2712247,2435.1642473376924,67,0,9,2,0,12,4,1,34,5
Apartment for Rent,"2404 5th Ave, Los Angeles, CA 90018",4000.0,34.0349676,-118.3223329,3704.813774702832,27,0,4,3,0,7,0,1,2,10
Apartment for Rent,"253 S Broadway, Los Angeles, CA 90012",3981.0,34.0513222,-118.2479951,4693.865909479837,160,0,49,7,0,21,18,1,37,27
Apartment for Rent,"255 S Grand Ave, Los Angeles, CA 90012",2818.0,34.0542129,-118.2502543,4777.303387743325,84,0,19,3,0,13,7,1,18,23
Apartment for Rent,"257 S Spring St, Los Angeles, CA 90012",3200.0,34.0509469,-118.2464361,4771.656346514515,165,1,53,7,0,18,19,1,38,28
Apartment for Rent,"2631 W 48th St, Los Angeles, CA 90043",1350.0,34.0001204,-118.3217931,4192.371782221894,24,0,5,3,0,9,2,0,1,4
Apartment for Rent,"2632 Halldale Ave, Los Angeles, CA 90018",1395.0,34.0320778,-118.3026901,1945.6984225514832,28,0,2,2,0,9,0,0,8,7
Apartment for Rent,"2637 S Catalina St, Los Angeles, CA 90007",1600.0,34.031454,-118.294345,1318.8744681395656,46,0,6,3,0,13,1,0,17,6
Apartment for Rent,"2663 5th Ave, Los Angeles, CA 90018",2900.0,34.0308242,-118.322515,3572.988755966732,25,0,2,0,0,9,0,0,2,12
Apartment for Rent,"2684 Orchard Ave, Los Angeles, CA 90007",9450.0,34.0305675,-118.2872583,929.7099259345872,71,0,7,6,0,19,2,0,32,5
Apartment for Rent,"2725 Obama Blvd, Los Angeles, CA 90018",2200.0,34.0193011,-118.3255277,3741.803275181823,17,1,2,3,0,9,0,0,0,2
Apartment for Rent,"2769 James M Wood Blvd, Los Angeles, CA 90006",2950.0,34.0559905,-118.2880176,3744.755381975563,77,0,18,8,3,17,9,1,8,13
Apartment for Rent,"2801 Sunset Pl, Los Angeles, CA 90005",4200.0,34.060884,-118.284357,4279.773136088023,67,0,20,7,2,12,7,1,10,8
Apartment for Rent,"2811 Menlo Ave, Los Angeles, CA 90007",10325.0,34.0292157,-118.290417,902.4779033155784,70,0,6,6,0,20,1,0,29,8
Apartment for Rent,"2914 S Normandie Ave, Los Angeles, CA 90007",2000.0,34.028778,-118.3001297,1556.099648447661,30,0,1,4,0,9,0,0,8,8
Apartment for Rent,"2928 S Halldale Ave, Los Angeles, CA 90018",2450.0,33.9784394,-118.3024169,5142.254298036938,35,0,4,6,0,9,2,0,7,7
Apartment for Rent,"2937 S Norton Ave, Los Angeles, CA 90018",2990.0,34.0287608,-118.332823,4454.518677274146,24,0,6,1,0,6,0,0,1,10
Apartment for Rent,"2953 Francis Ave, Los Angeles, CA 90005",3500.0,34.0568862,-118.2904199,3865.89345058374,75,0,19,11,3,11,12,1,7,11
Apartment for Rent,"300 E 9th St, Los Angeles, CA 90015",2400.0,34.039902,-118.253313,3516.768689674917,194,2,39,7,0,41,19,0,46,40
Apartment for Rent,"3000 Normandie Ave, Los Angeles, CA 90007",6503.0,34.0524999,-118.30001,3617.959463497197,43,0,5,8,0,12,1,0,8,9
Apartment for Rent,"3014 9th Ave, Los Angeles, CA 90018",3199.0,34.0274638,-118.327051,3906.896072130269,26,1,6,1,0,10,0,0,1,7
Apartment for Rent,"3033 Van Buren Pl, Los Angeles, CA 90007",2200.0,34.0269392,-118.2970816,1214.090808626294,42,0,4,7,0,9,1,0,11,10
Apartment for Rent,"3100 S Normandie Ave, Los Angeles, CA 90007",9751.0,34.0265325,-118.300116,1458.1449559159687,43,0,5,8,0,13,1,0,8,8
Apartment for Rent,"3105 S Normandie Ave, Los Angeles, CA 90007",7490.0,34.0266661,-118.3003146,1480.218935055474,42,0,6,8,0,11,2,0,7,8
Apartment for Rent,"324 W 51st St, Los Angeles, CA 90037",2800.0,33.9964088,-118.2788166,2947.5507201005576,36,0,13,2,0,10,5,0,2,4
Apartment for Rent,"3339 W 8th St, Los Angeles, CA 90005",1595.0,34.0577814,-118.3011342,4202.490476795973,68,0,15,10,1,12,7,0,8,15
Apartment for Rent,"334 S Main St, Los Angeles, CA 90013",3093.0,34.0481785,-118.2463485,4578.993032901008,208,1,65,8,0,24,25,2,48,35
Apartment for Rent,"338 S Benton Way, Los Angeles, CA 90057",2395.0,34.0660734,-118.2799532,4879.358628495828,52,1,13,5,0,7,4,1,11,10
Apartment for Rent,"343 E 53rd St, Los Angeles, CA 90011",2450.0,33.9943387,-118.2689304,3457.966785758943,26,0,7,0,0,9,2,0,1,7
Apartment for Rent,"3480 San Marino St, Los Angeles, CA 90006",2672.0,34.0543591,-118.3086241,4162.586818650057,65,1,9,13,0,15,3,0,13,11
Apartment for Rent,"3511 W 6th St, Los Angeles, CA 90020",5795.0,34.0636618,-118.2982779,4746.0441374366455,73,0,18,11,1,11,8,0,10,14
Apartment for Rent,"3520 W 39th St, Los Angeles, CA 90008",2666.0,34.0145252,-118.3341108,4601.156070279834,38,0,6,5,0,6,4,0,12,5
Apartment for Rent,"3540 Wilshire Blvd, Los Angeles, CA 90010",2920.0,34.0616526,-118.3017829,4627.455291116516,74,0,18,9,1,11,8,0,11,16
Apartment for Rent,"3616 W Adams Blvd, Los Angeles, CA 90018",2300.0,34.0325356,-118.3243381,3787.550599329392,31,0,4,0,0,10,0,0,2,15
Apartment for Rent,"3711 Halldale Ave, Los Angeles, CA 90018",4700.0,34.02058,-118.3030089,1662.8707315646288,43,0,9,9,0,12,4,1,5,3
Apartment for Rent,"3881 S Gramercy Pl, Los Angeles, CA 90062",1700.0,34.015105,-118.3133501,2727.087428917864,26,0,8,0,0,6,2,1,4,5
Apartment for Rent,"400 S Broadway, Los Angeles, CA 90013",2897.5,34.0491544,-118.2489804,4464.05153292986,192,1,58,8,0,23,23,1,43,35
Apartment for Rent,"4005 W 28th St, Los Angeles, CA 90018",3000.0,34.0315412,-118.3293648,4203.976183902486,24,0,5,1,0,8,0,0,2,8
